path,change,old_status,new_status,old_title,new_title,old_nav,new_nav,old_type,new_type,redirect_target,action
/blog/flock-lpr-vs-fixed-video-same-camera-body-two-different-jobs,retitled,200,200,"Flock LPR vs. Fixed Video: Same Camera Body, Two Different Jobs",,sitemap-only,sitemap-only,post,post,,
/blog/flock-safety-solved-stories-recap-edition-024,retitled,200,200,#SolvedStories | Edition 024,,sitemap-only,sitemap-only,post,post,,
/blog/flock-stories-your-voice-a-pinecrest-family-finds-safety-after-the-terror-of-a-home-invasion,nav-changed,200,200,“We went to bed knowing they were off the street.”,“We went to bed knowing they were off the street.”,sitemap-only,header,post,post,,
/blog/getac-and-flock-safety-join-forces-to-enhance-public-safety-solutions-for-law-enforcement,retitled,200,200,Getac and Flock Safety Join Forces to Enhance Public Safety Solutions for Law Enforcement,,sitemap-only,sitemap-only,post,post,,
/blog/how-communities-can-extend-public-safety-visibility-during-summer,retitled,200,200,How Communities Can Extend Public Safety Visibility During Summer,,sitemap-only,sitemap-only,post,post,,
/blog/how-effective-is-flock,nav-changed,200,200,How Effective Is Flock? 2025 Impact Census Results,How Effective Is Flock? 2025 Impact Census Results,sitemap-only,header,post,post,,
/blog/how-flock-aerodome-is-reinventing-public-safety-from-the-sky,retitled,200,200,How Flock Aerodome Is Reinventing Public Safety From the Sky,,sitemap-only,sitemap-only,post,post,,
/blog/how-to-break-the-cycle-of-recurring-safety-concerns-and-property-damage-at-your-parks,retitled,200,200,How to Break the Cycle of Recurring Safety Concerns and Property Damage at Your Parks,,sitemap-only,sitemap-only,post,post,,
/blog/how-to-prevent-theft-in-retail-store,retitled,200,200,What Are the Best Strategies To Prevent Retail Theft?,,sitemap-only,sitemap-only,post,post,,
/blog/how-to-use-technology-to-maximize-an-understaffed-department,retitled,200,200,"""Agencies are losing officers faster than they can hire new ones"" – How to Use Technology to Maximize an Understaffed Department",,sitemap-only,sitemap-only,post,post,,
/blog/independent-grand-jury-report-highlights-flocks-commitment-to-responsible-alpr-technology-through-product-design-and-safeguards,retitled,200,200,Independent Grand Jury Report Highlights Flock's Commitment to Responsible ALPR,,sitemap-only,sitemap-only,post,post,,
/blog/independent-study-vehicle-thefts-fell-11-after-flock-cameras-went-live,retitled,200,200,Independent Study: Vehicle Thefts Fell 11% After Flock Cameras Went Live,,sitemap-only,sitemap-only,post,post,,
/blog/security-camera-system-specifically-for-neighborhoods,retitled,200,200,How License Plate Reader Cameras Make Neighborhoods Safer,,sitemap-only,sitemap-only,post,post,,
/blog/sf-takes-historic-step-to-solve-crime-with-400-lpr-cameras,retitled,200,200,SF Takes Historic Step to Solve Crime With 400 LPR Cameras,,sitemap-only,sitemap-only,post,post,,
/blog/six-abducted-children-recovered-in-five-months-in-colorado-with-flock-lpr-technology,nav-changed,200,200,6 Abducted Children Recovered in Colorado in 5 Months,6 Abducted Children Recovered in Colorado in 5 Months,sitemap-only,header,post,post,,
/blog/solvedstories-florida-homeowners-association-staugustine-partners-with-local-law-enforcement-to-better-protect-their-community-from-crime,retitled,200,200,#SolvedStories | Florida Homeowners Partner With Local Law Enforcement to Protect Their Community From Crime,,sitemap-only,sitemap-only,post,post,,
/blog/the-road-to-eagles-club-what-it-takes-to-get-there,retitled,200,200,The Road to Eagle’s Club: What It Takes to Get There,,sitemap-only,sitemap-only,post,post,,
/blog/the-strategic-value-of-flock-safety-for-multifamily-communities,retitled,200,200,The Strategic Value of Flock Safety for Multifamily Communities,,sitemap-only,sitemap-only,post,post,,
/blog/vehicle-and-catalytic-converter-theft-flock-safetys-solutions-for-businesses,retitled,200,200,Vehicle and Catalytic Converter Theft: Flock Safety's Solutions for Businesses,,sitemap-only,sitemap-only,post,post,,
/blog/what-flocks-privacy-and-security-updates-mean-for-private-sector-customers,retitled,200,200,What Flock's Privacy and Security Updates Mean for Private Sector Customers,,header,header,post,post,,
/blog/what-separates-great-from-good-in-your-first-90-days-at-flock,retitled,200,200,What Separates Great from Good in Your First 90 Days at Flock,,sitemap-only,sitemap-only,post,post,,
/blog/what-the-supreme-courts-chatrie-decision-actually-means-for-alpr-technology,retitled,200,200,What the Supreme Court's Chatrie Decision Means for ALPR Technology,,sitemap-only,sitemap-only,post,post,,
/blog/why-vendor-competition-matters-for-your-agencys-future,retitled,200,200,Why Vendor Competition Matters for Your Agency’s Future,,sitemap-only,sitemap-only,post,post,,
/customers/flock-safety-raven-and-falcon-help-morgan-hill-pd-solve-aggravated-assault,retitled,200,200,Flock Safety Gunshot Detection Device & Flock Safety LPR Cameras Helps Morgan Hill PD Solve Aggravated Assault and P,Flock Safety Gunshot Detection Device & Flock Safety LPR Cameras Helps Morgan Hill PD Solve Aggravated Assault and Protect Officers,sitemap-only,sitemap-only,post,post,,
/customers/how-a-logistics-company-stopped-8-figures-losses-from-organized-crime-protected-millions-in-freight-with-flock-lpr-cameras-56tgx,retitled,200,200,How a Logistics Company Stopped 8-Figure Losses From Organized Crime & Protected Millions in Freight with Flock LPR,How a Logistics Company Stopped 8-Figure Losses From Organized Crime & Protected Millions in Freight with Flock LPR Cameras,sitemap-only,sitemap-only,post,post,,
/customers/how-columbus-is-harnessesing-flock-lpr-and-audio-detection-for-crime-resolution,retitled,200,200,"Strengthening Bonds, Increasing Safety: How Deputy Chief Dan Kelso’s Team Harnesses Flock Safety LPR & Gunshot Det","Strengthening Bonds, Increasing Safety: How Deputy Chief Dan Kelso’s Team Harnesses Flock Safety LPR & Gunshot Detection for Swift Crime Resolution",sitemap-only,sitemap-only,post,post,,
/customers/spokane-county-sheriffs-office-experience-rapid-case-resolution,retitled,200,200,Spokane County Sheriff’s Office Experiences Rapid Case Resolution with Real-time Intelligence & LPR for Every Road,Spokane County Sheriff’s Office Experiences Rapid Case Resolution with Real-time Intelligence & LPR for Every Roadway,sitemap-only,sitemap-only,post,post,,
/ebooks,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/ebooks/5-ways-to-mitigate-retail-risk-for-black-friday-beyond,retitled,200,200,5 Ways to Mitigate Retail Risk for Black Friday & Beyond,,sitemap-only,sitemap-only,resource,resource,,
/ebooks/community-safety-use-case-guide,retitled,200,200,Community Safety Use Case Guide,,sitemap-only,sitemap-only,resource,resource,,
/ebooks/frost-sullivan-names-flock-safety-a-2025-new-product-innovator,retitled,200,200,Frost & Sullivan Names Flock Safety a 2025 New Product Innovator,,sitemap-only,sitemap-only,resource,resource,,
/ebooks/property-safety-guide-2,retitled,200,200,Fire Safety in Your Home,,sitemap-only,sitemap-only,resource,resource,,
/ebooks/the-evolving-landscape-of-retail-consumer-attitudes-crime-trends-and-the-technology-leading-the-fight,retitled,200,200,"The Evolving Landscape of Retail: Consumer Attitudes, Crime Trends, and the Technology Leading the Fight",,sitemap-only,sitemap-only,resource,resource,,
/ebooks/your-plan-for-tech-enhanced-public-safety,retitled,200,200,Your Plan for Tech-Enhanced Public Safety,,sitemap-only,sitemap-only,resource,resource,,
/empowering-communities-to-keep-their-residents-safe,added,,200 (redirect),,How to Empower Your Community to Keep Residents Safe,,crawl-only [not-in-sitemap],,redirect,/ebooks/empowering-communities-to-keep-their-residents-safe,
/events,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/industries,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/lp,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/mobile-safety-tech-can-make-your-campus-safer,added,,200 (redirect),,Mobile Safety Technology for Safer College Campuses,,crawl-only [not-in-sitemap],,redirect,/ebooks/mobile-safety-tech-can-make-your-campus-safer,
/products/license-plate-readers,nav-changed,200,200,License Plate Readers (LPR) Cameras | Flock Safety,License Plate Readers (LPR) Cameras | Flock Safety,sitemap-only,header,product,product,,
/reduce-guard-cost-calculator,added,,200,,Guard Cost Savings Calculator | Flock Safety,,crawl-only [not-in-sitemap],,marketing,,
/use-case,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/video,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/video/two-families-one-frightening-night-and-how-flock-helped-bring-answers,nav-changed,200,200,"Two Families, One Frightening Night, and How Flock Helped Bring Answers","Two Families, One Frightening Night, and How Flock Helped Bring Answers",sitemap-only,header,resource,resource,,
/vs,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/webinar,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/webinar/catch-threats-early-resolve-them-quickly-stronger-protection-for-businesses-and-communities,retitled,200,200,"Catch Threats Early, Resolve Them Quickly: Stronger Protection for Businesses and Communities",,sitemap-only,sitemap-only,resource,resource,,
/webinar/flock-for-neighborhoods-demo-and-ask-us-anything,retitled,200,200,Flock for Neighborhoods: Demo and Ask Us Anything,,sitemap-only,sitemap-only,resource,resource,,
/webinar/flock-for-neighborhoods-live-demo-and-ask-us-anything,added,,200 (redirect),,,,crawl-only [not-in-sitemap],,redirect,/webinar/flock-for-neighborhoods-demo-and-ask-us-anything,
/webinar/flock-forward-on-demand-your-front-row-seat-to-the-newest-innovations-in-public-safety,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/webinar/how-proactive-technology-creates-safer-multifamily-communities,retitled,200,200,How Proactive Technology Creates Safer Multifamily Communities,,sitemap-only,sitemap-only,resource,resource,,
/webinar/real-time-road-safety-detect-crashes-sooner-reconstruct-scenes-faster-and-improve-your-streets,retitled,200,200,"Real Time Road Safety: Detect Crashes Sooner, Reconstruct Scenes Faster, and Improve Your Streets",,sitemap-only,sitemap-only,resource,resource,,
/webinar/retail-threat-awareness,retitled,200,200,Extending Threat Awareness Beyond Store Entry,,sitemap-only,sitemap-only,resource,resource,,
/webinar/thank-you-uncover-and-connect-taking-human-trafficking-investigations-to-the-next-level-on-demand,retitled,200,200,Uncover and Connect: Taking Human Trafficking Investigations to the Next Level,,sitemap-only,sitemap-only,resource,resource,,
/webinar/the-safety-blueprint-security-strategies-to-elevate-residential-communities,retitled,200,200,The Safety Blueprint: Security Strategies to Elevate Residential Communities,,sitemap-only,sitemap-only,resource,resource,,
/webinar/this-is-a-test,retitled,200,200,This is a test,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page,retitled,200,200,Webinar Test Evens Page,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy,retitled,200,200,Webinar Test Evens Page Copy,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-10,retitled,200,200,Webinar Test Evens Page Copy 10,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-11,retitled,200,200,Webinar Test Evens Page Copy 11,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-2,retitled,200,200,Webinar Test Evens Page Copy 2,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-3,retitled,200,200,Webinar Test Evens Page Copy 3,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-4,retitled,200,200,Webinar Test Evens Page Copy 4,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-5,retitled,200,200,Webinar Test Evens Page Copy 5,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-6,retitled,200,200,Webinar Test Evens Page Copy 6,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-7,retitled,200,200,Webinar Test Evens Page Copy 7,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-8,retitled,200,200,Webinar Test Evens Page Copy 8,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-copy-9,retitled,200,200,Webinar Test Evens Page Copy 9,,sitemap-only,sitemap-only,resource,resource,,
/webinar/webinar-test-evens-page-past,retitled,200,200,Webinar Test Evens Page Past,,sitemap-only,sitemap-only,resource,resource,,
/webinars,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/webinars/the-safety-blueprint-security-strategies-to-elevate-residential-communities,retitled,200 (redirect),200 (redirect),The Safety Blueprint: Security Strategies to Elevate Residential Communities,,crawl-only [not-in-sitemap],crawl-only [not-in-sitemap],redirect,redirect,/webinar/the-safety-blueprint-security-strategies-to-elevate-residential-communities,
/whitepaper,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/whitepaper/the-evolving-landscape-of-retail-consumer-attitudes-crime-trends-and-the-technology-leading-the-fight,retitled,200 (redirect),200 (redirect),"The Evolving Landscape of Retail: Consumer Attitudes, Crime Trends, and the Technology Leading the Fight",,crawl-only [not-in-sitemap],crawl-only [not-in-sitemap],redirect,redirect,/ebooks/the-evolving-landscape-of-retail-consumer-attitudes-crime-trends-and-the-technology-leading-the-fight,
